Product_ID,Date,Category,Size,Color,Brand,Material,Price,Units_Sold,Revenue,Stock_Levels,Reorder_Frequency,Customer_Reviews,Discount_Percentage,Supplier_Lead_Time,Shipping_Time,Return_Rate,Website_Traffic,Social_Media_Engagement,Competitor_Pricing
P0041,2021-01-05,Jeans,L,Black,Adidas,Wool,66.57,49,3261.93,100,15,3.8,5,7,7,4.9,4731,1154,97.57
P0042,2021-01-05,T-Shirt,L,Black,Adidas,Polyester,53.11,43,2283.73,172,15,4.5,0,3,2,2.09,9660,1369,67.58
P0043,2021-01-06,T-Shirt,S,Blue,Louis Vuitton,Leather,60.3,53,3195.8999999999996,71,11,4.3,20,5,2,5.23,5183,1519,85.93
P0044,2021-01-06,Shoes,L,Black,Louis Vuitton,Denim,35.63,49,1745.8700000000001,245,22,4.4,0,12,7,5.55,4970,1738,69.99
P0045,2021-01-06,Jacket,L,Yellow,Adidas,Polyester,56.58,44,2489.52,333,17,4.1,0,13,4,3.51,5891,1160,76.92
P0046,2021-01-06,Jeans,L,Black,Nike,Denim,53.22,49,2607.7799999999997,141,12,3.5,5,7,4,5.02,8071,861,83.5
P0047,2021-01-06,Sweater,L,Black,Gucci,Wool,57.14,29,1657.06,170,5,3.6,0,3,4,0.0,8376,1327,70.57
P0048,2021-01-07,Jacket,L,Red,Adidas,Polyester,37.29,69,2573.0099999999998,332,18,3.7,50,6,6,9.21,3758,272,75.46
P0049,2021-01-08,T-Shirt,XXL,White,Levis,Leather,31.17,38,1184.46,304,16,3.6,0,7,1,6.0,3214,469,75.72
P0050,2021-01-08,Sweater,L,Yellow,Puma,Cotton,54.0,44,2376.0,360,17,3.8,0,6,6,10.92,3695,1565,69.55
P0051,2021-01-08,T-Shirt,M,Blue,Puma,Polyester,50.25,40,2010.0,66,20,4.5,30,6,3,4.68,7008,1076,49.76
P0052,2021-01-08,Sweater,L,Blue,Under Armour,Cotton,63.04,21,1323.84,134,5,3.9,20,3,5,6.89,1693,1178,55.78
P0053,2021-01-08,Jacket,XL,Red,H&M,Wool,64.98,42,2729.1600000000003,59,20,3.2,30,6,7,1.5,1886,700,122.09
P0054,2021-01-08,Jeans,XL,Red,Nike,Cotton,10.0,42,420.0,176,8,3.7,0,8,5,7.68,4690,1253,69.35
P0055,2021-01-09,Dresses,S,Yellow,Adidas,Leather,69.93,24,1678.3200000000002,198,15,3.9,0,3,6,2.01,5065,1675,15.0
P0056,2021-01-09,Jeans,S,Red,Puma,Cotton,48.24,42,2026.0800000000002,390,5,3.4,0,6,3,6.96,3231,985,71.28
P0057,2021-01-09,T-Shirt,S,Black,Zara,Cotton,23.27,39,907.53,281,5,3.5,10,11,1,3.83,7205,1264,88.06
P0058,2021-01-09,Dresses,XXL,Blue,Louis Vuitton,Cotton,43.42,38,1649.96,327,12,4.8,10,7,5,7.51,7674,1571,110.84
P0059,2021-01-09,T-Shirt,L,Green,Zara,Denim,36.16,33,1193.28,258,22,4.3,0,8,5,3.25,4219,875,109.86
P0060,2021-01-09,T-Shirt,L,Green,Puma,Leather,86.45,45,3890.25,399,18,3.7,30,3,5,5.51,6431,771,57.63
P0061,2021-01-09,Jacket,M,Yellow,Puma,Polyester,74.39,32,2380.48,85,10,4.2,0,3,5,8.9,4325,584,89.39
P0062,2021-01-10,Shoes,M,Red,Zara,Cotton,63.7,46,2930.2000000000003,372,12,3.8,0,6,2,0.0,3289,1499,52.55
P0063,2021-01-10,T-Shirt,M,Red,Zara,Leather,13.19,28,369.32,123,24,3.3,30,7,4,2.38,7017,243,24.3
P0064,2021-01-10,Jacket,L,Blue,Zara,Cotton,36.07,32,1154.24,185,18,3.5,20,6,7,2.24,8891,999,61.44
P0065,2021-01-10,T-Shirt,XL,Black,H&M,Polyester,32.59,44,1433.96,301,20,4.0,10,7,3,4.36,4104,85,62.15
P0066,2021-01-10,T-Shirt,XL,White,Gucci,Polyester,56.93,49,2789.57,148,8,4.5,0,5,4,8.01,7471,2079,60.13
P0067,2021-01-10,Jacket,M,Green,H&M,Leather,52.46,28,1468.88,172,20,4.2,5,3,6,2.77,5507,1507,15.0
P0068,2021-01-10,Shoes,XXL,Green,Under Armour,Cotton,60.58,50,3029.0,149,6,3.1,0,7,6,7.09,8510,467,37.84
P0069,2021-01-10,T-Shirt,XL,Black,Adidas,Cotton,38.18,37,1412.66,184,13,3.5,10,3,5,9.17,4744,1690,81.9
P0070,2021-01-11,Shoes,L,Blue,Adidas,Cotton,43.36,39,1691.04,212,10,2.8,5,10,4,1.82,4052,188,79.19
P0071,2021-01-11,Jeans,L,Black,Nike,Wool,20.11,57,1146.27,259,15,3.9,5,3,6,6.6,3232,877,104.18
P0072,2021-01-11,Jeans,L,Blue,Adidas,Polyester,27.76,37,1027.1200000000001,148,16,4.0,10,3,6,10.0,3329,1035,71.42
P0073,2021-01-11,Dresses,XL,Yellow,H&M,Polyester,43.59,44,1917.96,221,18,4.2,50,7,5,2.89,5707,959,109.93
P0074,2021-01-11,T-Shirt,L,Red,Nike,Polyester,31.88,32,1020.16,315,9,4.2,0,3,3,3.15,5858,50,134.38
P0075,2021-01-12,T-Shirt,XXL,Red,Levis,Polyester,69.0,9,621.0,118,14,4.4,5,12,5,1.17,3264,685,93.93
P0076,2021-01-12,Sweater,M,White,H&M,Cotton,56.7,35,1984.5,381,9,3.8,5,7,6,9.72,4903,1498,89.84
P0077,2021-01-12,Jeans,XXL,White,H&M,Cotton,49.38,46,2271.48,302,17,4.2,0,8,5,5.12,3434,1320,102.7
P0078,2021-01-12,Jeans,M,Red,Levis,Polyester,45.31,42,1903.02,268,21,3.7,30,4,1,0.76,7598,1039,111.32
P0079,2021-01-12,T-Shirt,XL,Yellow,Under Armour,Cotton,41.52,32,1328.64,297,12,4.2,50,3,9,4.34,7659,880,49.91
P0080,2021-01-12,Jeans,M,Red,Adidas,Denim,32.13,35,1124.5500000000002,172,13,4.2,5,6,6,7.18,3610,1471,37.64
P0081,2021-01-12,Jeans,XL,Black,Levis,Wool,64.91,44,2856.04,234,18,4.2,10,9,4,3.49,8167,734,112.02
P0082,2021-01-12,Sweater,XL,Red,Gucci,Cotton,15.85,26,412.09999999999997,267,9,3.5,20,4,4,5.18,5468,1030,146.63
P0083,2021-01-13,Jeans,XL,Blue,Louis Vuitton,Leather,84.12,46,3869.5200000000004,399,11,4.0,30,5,3,4.65,4355,962,47.88
P0084,2021-01-13,Shoes,L,Yellow,Nike,Leather,62.04,13,806.52,296,23,3.3,30,7,5,7.71,5936,1288,107.45
P0085,2021-01-13,Jacket,XXL,Blue,Nike,Cotton,49.99,46,2299.54,309,12,3.9,50,5,5,0.62,2812,1455,50.77
P0086,2021-01-13,Dresses,L,Blue,Nike,Cotton,64.58,53,3422.74,229,12,4.6,5,3,5,3.75,7890,142,75.94
P0087,2021-01-13,T-Shirt,XXL,Green,Uniqlo,Denim,46.45,45,2090.25,173,22,4.1,0,4,9,5.21,8457,1155,59.68
P0088,2021-01-13,Dresses,XXL,Yellow,Uniqlo,Polyester,90.83,31,2815.73,96,5,3.8,5,11,3,7.2,7558,1362,80.49
P0089,2021-01-13,Sweater,L,Blue,Puma,Cotton,80.96,27,2185.9199999999996,222,12,3.7,5,8,4,7.21,1859,970,72.89
P0090,2021-01-14,Shoes,L,Green,Adidas,Cotton,46.67,31,1446.77,171,13,5.0,10,13,4,3.74,3833,1032,81.99
P0091,2021-01-14,Jeans,XL,Blue,Puma,Denim,52.79,43,2269.97,264,13,4.2,0,6,6,7.16,5435,262,78.87
P0092,2021-01-14,Jeans,XL,Yellow,H&M,Wool,58.42,25,1460.5,308,17,3.6,5,5,2,8.73,5682,537,121.34
P0093,2021-01-14,T-Shirt,L,White,Nike,Polyester,43.86,30,1315.8,443,11,3.2,5,3,2,7.72,5985,759,61.15
P0094,2021-01-14,Jacket,XL,Blue,Puma,Cotton,66.24,47,3113.2799999999997,109,9,4.0,30,4,5,6.6,5257,50,81.72
P0095,2021-01-15,Dresses,M,White,Nike,Cotton,41.58,26,1081.08,389,17,3.8,10,14,2,6.54,2707,811,52.45
P0096,2021-01-15,Dresses,XL,Green,Under Armour,Polyester,49.55,42,2081.1,218,16,3.9,0,8,3,0.0,4801,50,71.55
P0097,2021-01-15,T-Shirt,XL,Blue,Uniqlo,Polyester,58.32,54,3149.28,264,15,4.3,50,4,1,9.45,5051,984,64.57
P0098,2021-01-15,Jacket,M,Green,Louis Vuitton,Polyester,59.27,48,2844.96,247,13,3.5,0,10,2,7.84,6390,1707,33.89
P0099,2021-01-15,Jeans,L,Blue,H&M,Polyester,45.33,36,1631.8799999999999,306,16,4.0,10,10,2,3.8,3780,618,52.7
P0100,2021-01-15,T-Shirt,XXL,Blue,Adidas,Cotton,57.54,38,2186.52,257,23,3.2,5,5,6,4.67,2317,1171,26.84
P0101,2021-01-15,Sweater,L,Red,H&M,Polyester,35.41,50,1770.4999999999998,233,16,4.0,50,8,5,8.11,2699,2136,68.11
P0102,2021-01-15,Jeans,L,Black,Puma,Cotton,38.58,47,1813.26,316,14,3.4,0,8,3,3.65,3546,1134,53.2
P0103,2021-01-16,Sweater,S,Red,Puma,Cotton,51.74,39,2017.8600000000001,437,13,3.9,0,8,6,1.96,5317,646,46.4
P0104,2021-01-16,T-Shirt,S,Black,Nike,Leather,94.25,30,2827.5,181,11,4.0,10,6,4,3.47,3224,1252,107.84
P0105,2021-01-16,Shoes,XL,Black,Zara,Polyester,31.75,39,1238.25,224,5,3.5,0,8,4,0.0,2351,984,85.96
P0106,2021-01-16,T-Shirt,L,Black,Adidas,Cotton,44.04,56,2466.24,166,21,4.0,10,5,4,3.37,7009,916,83.78
P0107,2021-01-16,T-Shirt,M,White,Adidas,Denim,123.87,50,6193.5,105,8,3.9,10,9,4,6.83,1694,783,39.82
P0108,2021-01-17,Shoes,L,Red,Nike,Denim,38.01,28,1064.28,216,19,4.1,0,8,5,3.38,4684,50,15.63
P0109,2021-01-17,Jacket,M,Black,Adidas,Leather,60.19,35,2106.65,248,14,4.1,5,3,8,6.43,6989,2274,78.95
P0110,2021-01-17,Jeans,XL,Green,H&M,Cotton,63.52,29,1842.0800000000002,128,12,3.4,0,9,6,2.81,6068,674,58.64
P0111,2021-01-17,T-Shirt,L,Blue,Zara,Denim,19.26,42,808.9200000000001,211,10,4.7,10,3,1,7.43,6820,721,50.28
P0112,2021-01-17,T-Shirt,L,Black,Nike,Polyester,81.2,47,3816.4,477,8,3.9,0,7,4,2.95,5203,1143,83.52
P0113,2021-01-17,Shoes,S,Blue,Uniqlo,Cotton,29.27,5,146.35,117,11,3.2,0,10,5,1.91,2578,580,78.79
P0114,2021-01-17,Jacket,L,White,Adidas,Leather,70.79,26,1840.5400000000002,296,15,3.8,10,8,4,1.08,5469,888,102.63
P0115,2021-01-17,Jacket,XL,Green,Puma,Leather,33.2,53,1759.6000000000001,281,8,3.6,10,11,4,0.0,4294,975,107.39
P0116,2021-01-17,Dresses,L,White,Nike,Cotton,61.51,62,3813.62,134,12,4.0,0,4,4,8.16,3968,1773,55.24
P0117,2021-01-17,Jacket,XL,Blue,Levis,Cotton,43.69,42,1834.98,178,21,3.3,10,5,3,7.99,8082,570,42.64
P0118,2021-01-17,Dresses,M,Black,Nike,Leather,47.57,32,1522.24,232,10,3.6,5,10,3,6.82,7249,620,64.11
P0119,2021-01-17,Jeans,M,Black,Levis,Cotton,69.64,39,2715.96,239,10,4.4,0,14,3,5.06,5702,1400,85.76
P0120,2021-01-18,Jeans,L,Blue,Nike,Denim,90.87,34,3089.58,329,11,4.1,5,10,1,7.69,5748,407,128.74
P0121,2021-01-18,T-Shirt,XL,Yellow,Uniqlo,Leather,83.83,29,2431.07,299,14,3.6,0,8,8,5.27,4815,960,31.6
P0122,2021-01-18,T-Shirt,M,Yellow,H&M,Cotton,35.76,29,1037.04,264,17,4.1,10,6,1,4.71,918,1501,91.53
P0123,2021-01-18,Sweater,L,Green,Nike,Cotton,59.46,33,1962.18,208,11,4.2,0,3,4,4.15,4349,1769,70.88
P0124,2021-01-18,Jeans,L,Red,Under Armour,Leather,42.25,50,2112.5,289,9,3.6,0,8,4,2.55,6355,1064,94.66
P0125,2021-01-18,T-Shirt,L,Black,Adidas,Cotton,23.14,58,1342.1200000000001,178,8,3.1,50,3,4,6.3,2120,2273,82.76
P0126,2021-01-18,Jeans,XL,Black,Nike,Polyester,44.39,35,1553.65,115,11,4.4,0,3,4,9.62,4308,1153,61.96
P0127,2021-01-18,Jeans,M,Blue,Nike,Denim,58.89,46,2708.94,202,13,3.9,10,3,5,7.09,3486,1697,42.14
P0128,2021-01-19,T-Shirt,XL,Yellow,Adidas,Wool,80.65,32,2580.8,217,11,4.7,10,7,4,9.05,2821,916,70.74
P0129,2021-01-19,Shoes,L,Yellow,Puma,Polyester,67.8,39,2644.2,202,11,4.1,5,12,7,5.17,4669,932,70.05
P0130,2021-01-19,T-Shirt,M,Blue,Uniqlo,Leather,36.6,26,951.6,218,17,4.2,0,8,7,7.31,6963,257,56.79
P0131,2021-01-19,Jacket,L,Black,Adidas,Polyester,47.83,36,1721.8799999999999,405,14,4.0,30,8,2,6.37,7601,290,15.0
P0132,2021-01-19,Dresses,M,White,Nike,Polyester,53.44,12,641.28,264,11,4.0,0,6,2,5.01,3430,782,91.27
P0133,2021-01-20,Jacket,L,Yellow,Louis Vuitton,Cotton,10.0,28,280.0,238,11,3.8,20,5,3,5.55,6176,576,54.1
P0134,2021-01-20,Sweater,L,Black,Levis,Polyester,45.64,40,1825.6,441,8,4.4,20,6,7,4.18,6140,326,47.37
P0135,2021-01-20,T-Shirt,XL,Blue,Adidas,Polyester,80.57,32,2578.24,122,12,4.3,5,7,2,5.2,5281,1388,70.63
P0136,2021-01-20,Shoes,M,Blue,Zara,Leather,28.14,49,1378.8600000000001,295,22,3.9,0,9,7,9.84,4657,1146,84.32
P0137,2021-01-20,T-Shirt,XXL,White,Nike,Cotton,56.24,26,1462.24,226,10,3.9,5,9,6,6.98,500,649,99.14
P0138,2021-01-20,Dresses,S,Black,Zara,Cotton,47.0,44,2068.0,157,21,3.9,10,3,3,9.21,7967,429,108.92
P0139,2021-01-20,Shoes,M,Black,Nike,Wool,10.0,26,260.0,50,8,3.4,10,9,2,2.2,5511,50,95.41
P0140,2021-01-20,Sweater,L,Red,Nike,Polyester,83.05,39,3238.95,207,14,4.1,0,8,3,5.08,6108,881,32.37
P0141,2021-01-20,Sweater,XL,Blue,Nike,Wool,65.99,48,3167.5199999999995,302,19,4.0,5,3,5,0.0,6281,936,85.42
P0142,2021-01-21,Jacket,S,White,Under Armour,Denim,82.93,51,4229.43,187,20,3.2,0,4,5,8.15,5842,50,40.04
P0143,2021-01-21,Jeans,S,Black,Levis,Wool,50.72,32,1623.04,389,18,3.7,0,9,5,4.64,7550,1110,83.73
P0144,2021-01-21,Jacket,L,Blue,Puma,Wool,83.28,48,3997.44,350,16,3.6,0,10,4,5.0,3765,326,29.72
P0145,2021-01-21,Jacket,S,Blue,Zara,Polyester,92.95,51,4740.45,284,11,4.4,10,15,5,0.24,5968,194,44.17
P0146,2021-01-21,T-Shirt,L,Black,Nike,Polyester,50.34,25,1258.5,144,16,4.4,10,3,6,2.8,6465,579,55.83
P0147,2021-01-21,T-Shirt,L,Blue,Adidas,Cotton,41.01,46,1886.4599999999998,170,16,5.0,5,6,5,6.5,5696,1204,79.03
P0148,2021-01-21,Dresses,S,Red,Adidas,Leather,54.29,50,2714.5,240,21,4.2,10,11,1,7.54,6580,1350,46.81
P0149,2021-01-21,Jacket,S,Blue,Zara,Denim,14.25,36,513.0,265,10,4.3,10,8,5,3.87,4654,1438,52.86
P0150,2021-01-22,T-Shirt,XL,Black,Nike,Denim,80.9,40,3236.0,222,19,4.8,0,9,6,9.83,4149,1501,55.81
P0151,2021-01-22,T-Shirt,XL,Blue,Nike,Cotton,46.18,35,1616.3,255,19,4.8,5,7,7,3.44,3164,334,84.29
P0152,2021-01-22,Jacket,L,Red,Uniqlo,Cotton,68.19,24,1636.56,500,7,3.7,30,8,7,3.23,4766,1246,74.23
P0153,2021-01-22,Dresses,M,White,Adidas,Cotton,64.5,43,2773.5,258,20,3.5,20,14,4,7.88,3916,566,99.23
P0154,2021-01-22,Sweater,XXL,White,Zara,Leather,54.08,45,2433.6,197,19,4.1,30,8,3,10.31,1476,1672,39.09
P0155,2021-01-22,Dresses,XL,Green,Zara,Wool,36.73,31,1138.6299999999999,192,19,3.9,50,7,9,1.44,3395,1326,53.27
P0156,2021-01-22,Shoes,XL,Green,Adidas,Cotton,81.05,28,2269.4,500,13,3.6,10,6,7,4.4,6506,433,48.98
P0157,2021-01-23,T-Shirt,M,Red,Adidas,Cotton,25.4,47,1193.8,297,15,3.5,30,9,8,11.03,6279,50,84.43
P0158,2021-01-23,T-Shirt,L,Blue,Under Armour,Leather,63.49,49,3111.01,209,21,4.1,0,3,2,2.9,6049,1328,68.68
P0159,2021-01-23,Sweater,XL,Blue,Zara,Denim,63.42,34,2156.28,385,9,3.4,10,8,7,2.65,5208,1236,134.16
P0160,2021-01-23,Jeans,L,Yellow,Levis,Cotton,39.32,45,1769.4,415,8,4.0,0,9,4,5.67,4072,1208,85.56
P0161,2021-01-23,Sweater,M,White,Levis,Cotton,55.21,34,1877.14,151,16,4.3,20,7,8,3.65,4221,1546,71.46
P0162,2021-01-23,T-Shirt,M,White,Zara,Cotton,40.31,48,1934.88,172,17,3.6,0,9,5,5.53,5589,1559,28.39
P0163,2021-01-23,Jeans,L,Yellow,Under Armour,Polyester,47.36,36,1704.96,494,15,3.6,20,4,8,0.0,8170,1992,55.29
P0164,2021-01-23,T-Shirt,XL,Red,Puma,Cotton,36.55,16,584.8,376,9,4.5,0,8,4,6.8,6721,278,67.63
P0165,2021-01-23,Jacket,XL,Black,H&M,Cotton,69.08,23,1588.84,232,16,3.8,0,7,5,10.11,7085,1642,55.74
P0166,2021-01-23,T-Shirt,L,Black,Nike,Wool,80.2,24,1924.8000000000002,209,14,3.6,0,10,3,3.75,5688,1117,96.96
P0167,2021-01-23,Jacket,XL,Red,Louis Vuitton,Polyester,49.13,26,1277.38,339,6,3.3,20,8,4,7.33,9755,904,83.72
P0168,2021-01-24,Jeans,L,Black,Nike,Leather,62.33,37,2306.21,220,7,3.7,20,9,7,7.16,5226,810,59.11
P0169,2021-01-24,Dresses,XL,Yellow,Puma,Denim,44.56,27,1203.1200000000001,65,18,3.6,10,3,3,8.79,6549,190,104.49
P0170,2021-01-24,Jeans,XL,Black,Levis,Leather,46.64,38,1772.32,88,19,4.4,10,3,5,11.97,6970,1065,102.88
P0171,2021-01-24,T-Shirt,S,Blue,H&M,Cotton,52.17,26,1356.42,332,10,3.6,10,9,6,4.91,6681,880,71.23
P0172,2021-01-24,Jeans,M,Green,Nike,Wool,55.44,51,2827.44,284,8,3.9,5,4,5,2.26,4648,759,59.61
P0173,2021-01-24,Jacket,XL,Blue,Adidas,Leather,38.19,26,992.9399999999999,322,15,4.8,50,3,7,2.45,5013,1021,54.41
P0174,2021-01-24,Jeans,XL,Green,H&M,Cotton,42.44,70,2970.7999999999997,267,15,3.4,0,7,2,5.91,4414,1124,104.64
P0175,2021-01-24,T-Shirt,S,White,Adidas,Cotton,54.77,41,2245.57,249,20,3.9,0,12,6,3.24,5098,485,15.0
P0176,2021-01-25,Jacket,L,White,Puma,Cotton,52.29,40,2091.6,332,14,4.2,5,3,10,4.2,3914,988,65.43
P0177,2021-01-25,Sweater,XXL,Black,Levis,Cotton,63.99,37,2367.63,481,19,5.0,0,3,7,1.41,6274,1329,67.69
P0178,2021-01-25,Shoes,XL,Blue,Louis Vuitton,Polyester,82.3,33,2715.9,188,14,3.2,10,5,3,5.17,5327,556,77.9
P0179,2021-01-26,Jacket,M,Black,Zara,Cotton,23.2,33,765.6,251,10,3.9,10,5,6,8.36,4894,584,81.06
P0180,2021-01-26,Dresses,M,Blue,Under Armour,Leather,17.24,59,1017.1599999999999,385,15,4.0,0,8,7,2.98,6587,469,57.11
P0181,2021-01-26,T-Shirt,M,Black,Nike,Wool,36.89,25,922.25,355,11,4.2,0,7,1,7.43,2573,503,77.28
P0182,2021-01-26,Jeans,M,White,Uniqlo,Cotton,53.14,25,1328.5,241,11,4.1,10,3,5,7.21,5891,675,116.77
P0183,2021-01-26,Jeans,L,Black,Nike,Polyester,29.84,35,1044.4,293,16,4.2,0,3,7,4.11,5252,1296,74.82
P0184,2021-01-27,Jacket,XXL,Yellow,Adidas,Cotton,57.98,44,2551.12,300,19,2.5,10,5,1,3.94,4658,226,106.42
P0185,2021-01-27,Jeans,L,Blue,Uniqlo,Cotton,10.0,37,370.0,292,8,3.3,0,7,7,4.6,4737,1196,133.18
P0186,2021-01-27,Jeans,L,Yellow,Puma,Cotton,35.77,41,1466.5700000000002,341,9,5.0,5,10,1,7.73,4178,1377,56.98
P0187,2021-01-27,T-Shirt,XL,Yellow,Puma,Cotton,58.73,43,2525.39,211,13,4.4,0,6,7,10.76,3566,854,65.32
P0188,2021-01-27,Jeans,XL,Red,Louis Vuitton,Polyester,60.96,44,2682.2400000000002,330,26,4.3,0,4,1,6.35,3805,1347,63.77
P0189,2021-01-27,Dresses,XL,Green,Puma,Denim,42.67,41,1749.47,420,16,4.2,0,11,2,3.55,7507,1581,103.44
P0190,2021-01-27,Dresses,S,Yellow,Under Armour,Leather,53.57,27,1446.39,311,18,3.3,0,11,3,4.74,3805,1428,42.58
P0191,2021-01-28,Sweater,M,Red,Zara,Leather,32.95,29,955.5500000000001,304,20,4.6,5,7,4,3.68,5893,312,77.88
P0192,2021-01-28,Jeans,XL,Red,Levis,Polyester,18.04,33,595.3199999999999,365,12,4.2,5,9,1,6.41,3024,174,62.44
